urn,title,page_start,page_end,overlapp,digital_visning,comment,dhlabid,pages
URN:NBN:no-nb_digibok_2016051048054,Aftensang,155,156,x,,,dhlab_norn_poem_00240,
URN:NBN:no-nb_digibok_2016051048054,En anden,156,156,x,,,dhlab_norn_poem_00241,
URN:NBN:no-nb_digibok_2016051048054,En tredie,156,156,x,,,dhlab_norn_poem_00242,
URN:NBN:no-nb_digibok_2016051048054,En fjerde,157,157,x,,,dhlab_norn_poem_00243,
URN:NBN:no-nb_digibok_2016051048054,Før mødet,158,159,x,,,dhlab_norn_poem_00244,
URN:NBN:no-nb_digibok_2016051048054,Efter mødet,159,159,x,,,dhlab_norn_poem_00245,
URN:NBN:no-nb_digibok_2016051048054,Vennemødet,159,160,x,,,dhlab_norn_poem_00246,
URN:NBN:no-nb_digibok_2016051048054,Farvel,160,161,x,,,dhlab_norn_poem_00247,
URN:NBN:no-nb_digibok_2016051048054,En anden,161,161,x,,,dhlab_norn_poem_00248,
URN:NBN:no-nb_digibok_2016051048054,En tredie,162,162,x,,,dhlab_norn_poem_00249,
URN:NBN:no-nb_digibok_2016051048054,En fjerde,162,162,x,,,dhlab_norn_poem_00250,
URN:NBN:no-nb_digibok_2016051048054,Missionssang,162,163,x,,,dhlab_norn_poem_00251,
URN:NBN:no-nb_digibok_2016051048054,En anden,163,164,x,,,dhlab_norn_poem_00252,
URN:NBN:no-nb_digibok_2016051048054,En tredie,164,165,x,,,dhlab_norn_poem_00253,
URN:NBN:no-nb_digibok_2016051048054,Ved kvindeforeninger,165,166,x,,,dhlab_norn_poem_00254,
URN:NBN:no-nb_digibok_2016051048054,Skolesang,166,166,x,,,dhlab_norn_poem_00255,
URN:NBN:no-nb_digibok_2016051048054,Skolelærerens farvel,167,167,,,,dhlab_norn_poem_00256,
URN:NBN:no-nb_digibok_2016051048054,Velkomsthilsen til dronningen,168,168,,,,dhlab_norn_poem_00257,
